Species,H0,H1
1,11.487017527603127,7.944628079030126
1,11.201187982568765,7.519358619235326
10,10.205572378438575,5.372404884785805
1,10.71555505650694,7.318796257227921
1,11.109205286162393,7.3606068243895635
1,11.340112022292034,7.865419309940313
1,11.153855656619339,7.221029609596936
1,11.178899835780935,7.623463803848819
1,11.435415038418085,8.103298907234498
1,10.721109003036336,7.250062820585935
1,11.132612335542799,7.568063104068049
1,10.481388918740794,6.395026880506547
1,11.42247035791478,7.970643039319128
1,10.760787003540015,7.824304576118538
7,10.410302496966409,5.833365808910966
1,11.161494134357111,7.850665515920151
1,11.152123087593935,7.628726949375097
1,10.986352553415294,7.249134830180413
1,11.05004049932322,7.395006727563178
1,10.832802509224082,7.362309916054352
1,11.238042136669002,7.579341651028011
1,11.274817263155763,7.833980546754691
7,9.819736754454603,5.050095188780423
7,10.594032910354764,6.644831071602357
7,10.069892507861057,5.595118578606342
10,8.916376347225235,4.628409135939273
10,9.679984299435597,5.262742525731487
8,9.696102840160124,5.350372233462111
8,10.164204198997567,6.251398838166953
8,10.20610010962967,5.713816690693996
8,9.92315150913734,5.666084669627816
8,9.959391675748272,5.833655392631614
8,9.494857776586954,5.211136046126657
10,9.626212036564874,4.779978503836182
10,9.863735464158509,5.115590905189056
7,10.489639158720069,5.967648119806869
7,10.819169429927408,7.138032634166856
7,10.761731832162495,6.367446368397316
1,10.928997422926201,7.392464159996147
7,11.026911357699113,7.005964148478752
7,10.487062777205924,6.091426573366673
10,9.763108048313844,5.013666960671238
10,9.653255939530721,4.901262425717216
10,8.993846732258634,4.852447326633603
8,10.554079334401617,6.68737873885346
8,10.456237557614937,6.7611110747321455
8,9.966914034145885,5.7329816076554625
8,10.617807356968745,6.8129236364067935
10,9.710022083892586,4.394490319434822
10,10.342002705005202,5.500194032733863
10,9.877735728024987,4.526594582540758
7,10.626754096639951,6.224667657387568
7,10.687365329670762,6.617172698192724
7,9.689166016758586,4.352956166431923
7,10.68108204801421,6.490829739047793
10,9.930653228631979,5.29563862844702
10,9.343205851212794,5.048735972551498
10,9.634429374350786,4.208583913157886
8,10.063445045273344,5.812635672444162
8,9.568525568656845,5.617241727962896
8,10.864936919092461,7.068732532326214
8,9.965225828053914,6.216074118971596
10,9.512477276848921,4.322997813549052
10,9.6898877288657,4.345760854277713
10,9.48278228908413,4.633731225940447
7,10.026934666915363,5.1716882796601995
7,9.881254555686825,5.027574510224202
7,11.480200542044189,6.784484841377428
7,10.072393426029146,5.238411717813028
7,10.608513636530354,6.769718193235221
10,9.7626001781203,5.251430279694307
10,10.116079734276807,5.547724254087766
8,10.614840515546536,6.724207117803677
8,9.813697341936198,5.89336422750311
8,9.752180584012672,5.6832235804557
8,10.790572428572633,7.239851219881174
8,9.038117114079707,5.067288153750673
10,9.6719604557871,5.468696017165995
10,9.090629196465894,4.333389656380195
7,10.922290885150046,7.377229735912432
7,10.97228191772779,6.548891631069569
7,11.57408134632002,7.471203227529233
