Species,H0,H1
1,10.830616743625546,6.032607294182578
1,10.677257002910851,5.852608663160922
10,9.509690411706307,3.1423384962379592
1,10.242451532328394,5.737800212568454
1,10.474478090115971,5.778611925839377
1,10.773225666865562,6.132212528657581
1,10.64734392373917,5.789886518752896
1,10.623819805994048,6.134052777244074
1,10.92197350138003,6.553196782507582
1,10.112313023533071,5.480968392751119
1,10.609144366527934,5.824495649172135
1,10.056979610216693,5.015297464425006
1,10.855018557710444,6.296517699258902
1,10.15184588237166,5.973897865701152
7,9.728324409139995,3.7653528643684213
1,10.49558538715401,5.805157134815455
1,10.584860432525025,5.945681630739385
1,10.564018896904473,5.7728192432805185
1,10.534044955674613,5.778337888606199
1,10.311163663293009,5.853378094644022
1,10.78545017493565,6.110691779497427
1,10.744967543170988,6.07953347338963
7,9.406302932073219,3.491297641050659
7,10.073621709950936,5.099718150551189
7,9.546686604461152,3.413919904710345
10,8.108312765125241,1.4546935465459652
10,8.973848864045715,2.8711876837694663
8,9.012993240221318,3.6381939775014156
8,9.509341901016128,4.728607812909699
8,9.606593082549486,4.254804273152784
8,9.2107416699576,4.116496459742663
8,9.288780078493595,3.9214382934195164
8,8.911982537588786,4.171815264326588
10,8.98292908191776,2.823915231946141
10,9.066248021441922,1.983361274905305
7,9.912389804438087,4.099932918098625
7,10.214944589910214,4.964718246083512
7,10.302737551399384,4.939357203431299
1,10.309827281280636,5.469735721907632
7,10.386155134989536,5.303315779751162
7,9.9142130206931,4.516302328215298
10,9.05271102078802,2.455234291955007
10,9.02103605245794,2.9791154542852523
10,8.404761470707866,2.6847444572735366
8,10.131089594562473,5.224277915967112
8,10.013155132268801,5.429511411848835
8,9.342323706631976,4.406233079008723
8,10.257002106062908,5.592037087899558
10,9.056579962250872,2.1954116907318446
10,9.504854660218989,3.0618194454603627
10,9.109649248509077,2.3908133315913584
7,10.058508215740044,4.383239403880594
7,10.050951398308314,4.837558394756265
7,9.016501091675188,2.1386322530087973
7,10.050646030626906,4.391876968470655
10,9.24102161231731,3.413256235017958
10,8.568260140329684,2.304394520084158
10,8.932690007944032,2.2475660084078544
8,9.68706325740209,4.677992658682496
8,9.20413053168545,4.270853006505122
8,10.473661001812172,5.77197409710465
8,9.189654814375155,4.117548426220943
10,8.912897478979549,2.3543419090039337
10,9.187662025232578,2.218050904117382
10,8.855040397843029,2.5961373263519576
7,9.392738493867155,2.9923250734989995
7,9.319477285393338,2.6411190454721436
7,10.89678250388046,5.001781465002958
7,9.656202022128278,3.8608011791938255
7,10.03608687643815,5.07824004804783
10,8.912767348932418,2.9071790847479972
10,9.365868553050818,3.6849202399899874
8,9.995213512186522,4.602254839372276
8,9.32928339357706,4.362720391509233
8,9.370962576118893,4.539153063022089
8,10.34736027533271,5.940446960965258
8,8.180909607277778,2.762616307601238
10,8.581453648166628,2.4679487184537003
10,8.538361806453395,2.77428898210001
7,10.190860573569191,5.265826632374911
7,10.27222963263106,4.416856485036201
7,10.86051067470857,5.632109585513692
7,10.044203812610165,4.337889379538003
7,10.407423276597118,4.57500091385769
7,9.50584739040751,2.6598127032417898
10,8.84683958775448,1.8825146426557844
10,9.037401733580172,2.641771016413297
8,8.870014207902146,3.348736206977665
8,8.948512016247054,3.703942457108683
8,9.435126796983564,4.11787442021871
